F1,F2,F3,F4,F5,F6,F7,F8,label
8.10E-09,1,0.663539901,-5.04E-11,1.52E-10,1.52E-10,3.78E-10,4.62E-10,T
8.36E-09,1,0.684838713,-5.25E-11,1.52E-10,1.50E-10,3.80E-10,4.60E-10,T
5.50E-09,1,0.450551785,-2.87E-11,1.52E-10,1.73E-10,3.56E-10,4.83E-10,T
5.31E-09,1,0.434987269,-2.71E-11,1.52E-10,1.75E-10,3.54E-10,4.85E-10,T
8.71E-09,1,0.71351019,-5.55E-11,1.52E-10,1.47E-10,3.83E-10,4.57E-10,T
1.21E-08,1,0.991213927,-8.37E-11,1.52E-10,1.18E-10,4.11E-10,4.28E-10,T
-4.29E-09,1,-0.351430392,5.29E-11,1.52E-10,2.55E-10,2.74E-10,5.65E-10,T
-3.50E-09,1,-0.286714772,4.63E-11,1.52E-10,2.48E-10,2.81E-10,5.58E-10,T
-5.49E-10,1,-0.054475864,4.08E-12,1.23E-10,2.71E-10,2.11E-10,4.87E-10,A
-3.52E-09,1,-0.349280588,2.88E-11,1.23E-10,2.96E-10,1.87E-10,5.12E-10,A
6.42E-09,1,0.637040163,-5.40E-11,1.23E-10,2.13E-10,2.69E-10,4.29E-10,A
1.30E-08,1,1.289956717,-1.09E-10,1.23E-10,1.58E-10,3.24E-10,3.74E-10,A
1.60E-08,1,1.587639037,-1.34E-10,1.23E-10,1.33E-10,3.49E-10,3.49E-10,A
1.61E-08,1,1.597561781,-1.35E-10,1.23E-10,1.33E-10,3.50E-10,3.48E-10,A
2.76E-09,1,0.273867734,-2.35E-11,1.23E-10,2.44E-10,2.39E-10,4.60E-10,A
2.18E-08,1,2.163158187,-1.82E-10,1.23E-10,8.50E-11,3.97E-10,3.01E-10,A
